Title,Platform,Genres,Rating,Wishlist,Plays,Backlogs,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Year,Release_Year,Publisher
Mega Man X8,PS2,Adventure,3.3,140.0,1400.0,438,0.29,0.14,0.11,0.0,0.04,2004.0,2004.0,Capcom
Mega Man X8,PS2,Platform,3.3,140.0,1400.0,438,0.29,0.14,0.11,0.0,0.04,2004.0,2004.0,Capcom
Suikoden,PS,Rpg,3.6,360.0,933.0,776,0.6,0.21,0.14,0.21,0.04,1995.0,1995.0,Konami Digital Entertainment
Binary Domain,PS3,Shooter,3.5,192.0,1100.0,598,0.33,0.09,0.08,0.14,0.03,2012.0,2012.0,Sega
Binary Domain,X360,Shooter,3.5,192.0,1100.0,598,0.19,0.09,0.07,0.02,0.02,2012.0,2012.0,Sega
Shin Megami Tensei: Devil Survivor,DS,Rpg,3.9,343.0,1000.0,667,0.27,0.14,0.0,0.12,0.01,2009.0,2009.0,Atlus
Shin Megami Tensei: Devil Survivor,DS,Strategy,3.9,343.0,1000.0,667,0.27,0.14,0.0,0.12,0.01,2009.0,2009.0,Atlus
Shin Megami Tensei: Devil Survivor,DS,Tactical,3.9,343.0,1000.0,667,0.27,0.14,0.0,0.12,0.01,2009.0,2009.0,Atlus
Shin Megami Tensei: Devil Survivor,DS,Visual Novel,3.9,343.0,1000.0,667,0.27,0.14,0.0,0.12,0.01,2009.0,2009.0,Atlus
JoJo's Bizarre Adventure: Eyes of Heaven,PS4,Arcade,2.8,196.0,1700.0,276,0.03,0.0,0.0,0.03,0.0,2015.0,2015.0,Namco Bandai Games
JoJo's Bizarre Adventure: Eyes of Heaven,PS3,Arcade,2.8,196.0,1700.0,276,0.03,0.0,0.0,0.03,0.0,2015.0,2015.0,Namco Bandai Games
JoJo's Bizarre Adventure: Eyes of Heaven,PS4,Fighting,2.8,196.0,1700.0,276,0.03,0.0,0.0,0.03,0.0,2015.0,2015.0,Namco Bandai Games
JoJo's Bizarre Adventure: Eyes of Heaven,PS3,Fighting,2.8,196.0,1700.0,276,0.03,0.0,0.0,0.03,0.0,2015.0,2015.0,Namco Bandai Games
Resistance: Fall of Man,PS3,Adventure,3.0,119.0,1300.0,280,4.35,1.73,1.73,0.14,0.75,2006.0,2006.0,Sony Computer Entertainment
Resistance: Fall of Man,PS3,Shooter,3.0,119.0,1300.0,280,4.35,1.73,1.73,0.14,0.75,2006.0,2006.0,Sony Computer Entertainment
The Simpsons: Road Rage,PS2,Racing,2.9,61.0,1700.0,146,3.61,2.02,1.17,0.0,0.42,2001.0,2001.0,Electronic Arts
The Simpsons: Road Rage,GBA,Racing,2.9,61.0,1700.0,146,1.19,0.86,0.32,0.0,0.02,2003.0,2001.0,THQ
The Simpsons: Road Rage,XB,Racing,2.9,61.0,1700.0,146,1.05,0.78,0.26,0.0,0.01,2001.0,2001.0,Electronic Arts
The Simpsons: Road Rage,GC,Racing,2.9,61.0,1700.0,146,0.24,0.19,0.05,0.0,0.01,2001.0,2001.0,Electronic Arts
Machinarium,PC,Adventure,3.7,242.0,1600.0,473,0.11,0.0,0.09,0.0,0.02,2009.0,2009.0,Daedalic
Machinarium,PC,Indie,3.7,242.0,1600.0,473,0.11,0.0,0.09,0.0,0.02,2009.0,2009.0,Daedalic
Machinarium,PC,Point-And-Click,3.7,242.0,1600.0,473,0.11,0.0,0.09,0.0,0.02,2009.0,2009.0,Daedalic
Machinarium,PC,Puzzle,3.7,242.0,1600.0,473,0.11,0.0,0.09,0.0,0.02,2009.0,2009.0,Daedalic
Tales of Zestiria,PS3,Rpg,2.7,264.0,1700.0,1K,0.59,0.05,0.09,0.42,0.03,2015.0,2015.0,Namco Bandai Games
Tales of Zestiria,PS4,Rpg,2.7,264.0,1700.0,1K,0.38,0.16,0.15,0.02,0.06,2015.0,2015.0,Namco Bandai Games
Black,PS2,Shooter,3.4,196.0,2100.0,359,1.25,1.01,0.04,0.03,0.16,2006.0,2006.0,Electronic Arts
Black,XB,Shooter,3.4,196.0,2100.0,359,0.42,0.31,0.09,0.0,0.01,2006.0,2006.0,Electronic Arts
Mario Super Sluggers,Wii,Sport,3.7,81.0,1800.0,133,1.93,1.51,0.0,0.29,0.12,2008.0,2008.0,Nintendo
Worms Armageddon,PS,Platform,3.8,57.0,2100.0,150,1.06,0.18,0.81,0.0,0.08,1999.0,1999.0,Microprose
Worms Armageddon,N64,Platform,3.8,57.0,2100.0,150,0.04,0.03,0.01,0.0,0.0,1999.0,1999.0,Infogrames
Worms Armageddon,PS,Shooter,3.8,57.0,2100.0,150,1.06,0.18,0.81,0.0,0.08,1999.0,1999.0,Microprose
Worms Armageddon,N64,Shooter,3.8,57.0,2100.0,150,0.04,0.03,0.01,0.0,0.0,1999.0,1999.0,Infogrames
Worms Armageddon,PS,Strategy,3.8,57.0,2100.0,150,1.06,0.18,0.81,0.0,0.08,1999.0,1999.0,Microprose
Worms Armageddon,N64,Strategy,3.8,57.0,2100.0,150,0.04,0.03,0.01,0.0,0.0,1999.0,1999.0,Infogrames
Street Fighter II Turbo,SNES,Fighting,3.7,50.0,1600.0,89,4.1,1.42,0.51,2.1,0.07,1992.0,1993.0,Capcom
Tekken 4,PS2,Fighting,3.4,109.0,1900.0,144,3.44,1.55,1.27,0.33,0.29,2002.0,2001.0,Namco Bandai Games
Legacy of Kain: Soul Reaver,PS,Adventure,3.7,328.0,1300.0,833,1.04,0.58,0.4,0.0,0.07,,1999.0,Eidos Interactive
Mega Man X7,PS2,Adventure,1.4,113.0,1300.0,385,0.58,0.22,0.17,0.14,0.06,2003.0,2003.0,Capcom
